Transaction,Book_ID,Checkout_Date,Return_Date,Member_ID
1,9876543210,14/05/2016,28/06/2016,4578
2,7654321098,23/11/2019,23/11/2019,9041
3,7654321098,02/01/2014,30/03/2014,1265
4,7654321098,19/12/2014,01/02/2015,2273
5,5432109876,02/09/2016,09/09/2016,4578
6,5432109876,20/04/2019,23/07/2019,1485
7,3210987654,11/05/2020,24/08/2020,8573
8,2109876543,20/04/2019,23/07/2019,1485
9,1098765432,05/11/2017,22/11/2017,6746
10,1098765432,12/10/2018,19/10/2018,5333
11,1098765432,29/01/2019,13/02/2019,2697
12,1098765432,13/04/2020,10/06/2020,7999
